FREQ;GEO;UNIT;LMP_TYPE;EXPTYPE\TIME_PERIOD,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;LV;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,36.843 ,42.123 ,40.642 ,46.521 ,60.522 ,79.931 ,190.307 ,124.494 ,64.358 ,58.466 ,71.535 ,84.282 ,100.215 ,112.418 ,109.408 ,115.884 
A;LV;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;LV;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,36.843 ,42.123 ,40.642 ,46.521 ,60.522 ,79.931 ,190.307 ,124.494 ,64.358 ,58.466 ,71.535 ,84.282 ,100.215 ,112.418 ,109.408 ,115.884 
A;MT;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.685 ,19.656 ,18.564 ,21.883 ,21.645 ,21.252 ,22.787 ,25.697 ,24.762 ,18.773 ,11.258 ,6.592 ,5.190 
A;MT;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;MT;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,20.685 ,19.656 ,18.564 ,21.883 ,21.645 ,21.252 ,22.787 ,25.697 ,24.762 ,18.773 ,11.258 ,6.592 ,5.190 
A;NL;MIO_EUR;8;XTOT,: ,8089.930 e,7427.400 e,6760.600 e,6814.600 e,7239.900 e,8695.100 e,9595.600 e,9527.600 e,8334.700 e,7030.400 e,6601.800 e,8534.200 e,9135.700 e,8746.700 e,10428.300 e,12680.900 e,13094.100 e,12331.300 e,11700.900 e,11094.203 e,10638.104 e
A;NL;MIO_EUR;9;XTOT,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;NL;MIO_EUR;TOT8_9;XTOT,: ,8089.930 e,7427.400 e,6760.600 e,6814.600 e,7239.900 e,8695.100 e,9595.600 e,9527.600 e,8334.700 e,7030.400 e,6601.800 e,8534.200 e,9135.700 e,8746.700 e,10428.300 e,12680.900 e,13094.100 e,12331.300 e,11700.900 e,11094.203 e,10638.104 e
A;NO;MIO_EUR;8;XTOT,: ,654.359 ,685.657 ,776.165 ,847.459 ,1110.060 ,1444.759 ,1348.196 ,1244.196 ,816.744 ,606.234 ,503.414 ,1106.108 ,1537.486 ,1444.699 ,1362.551 ,1300.001 ,1425.564 ,1598.705 ,1790.147 ,1740.642 ,1346.881 
A;NO;MIO_EUR;9;XTOT,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;NO;MIO_EUR;TOT8_9;XTOT,: ,654.359 ,685.657 ,776.165 ,847.459 ,1110.060 ,1444.759 ,1348.196 ,1244.196 ,816.744 ,606.234 ,503.414 ,1106.108 ,1537.486 ,1444.699 ,1362.551 ,1300.001 ,1425.564 ,1598.705 ,1790.147 ,1740.642 ,1346.881 
A;PL;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,745.152 ,707.173 ,582.505 ,521.528 ,658.997 ,813.546 ,737.840 ,812.014 ,870.285 ,705.310 ,627.321 ,520.051 ,461.444 ,398.323 
A;PL;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,1349.463 ,1227.329 ,1014.305 ,745.357 ,387.351 ,399.529 ,389.641 ,421.810 ,501.756 ,566.451 ,547.921 ,519.233 ,484.184 ,328.630 
A;PL;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,2094.616 ,1934.502 ,1596.810 ,1266.885 ,1046.347 ,1213.075 ,1127.481 ,1233.824 ,1372.041 ,1271.761 ,1175.241 ,1039.284 ,945.628 ,726.954 
A;PT;MIO_EUR;8;XTOT,: ,630.876 ,731.642 ,814.066 ,885.658 ,1096.273 ,1445.129 ,1584.740 ,1778.969 ,1737.029 ,1606.926 ,1546.374 ,2030.639 ,2220.062 ,2103.278 ,2592.797 ,2737.149 ,2238.584 ,1760.138 ,1509.213 ,1311.700 ,1233.509 
A;PT;MIO_EUR;9;XTOT,: ,187.036 ,188.168 e,193.175 ,376.156 ,182.868 ,206.564 ,200.092 ,187.611 ,176.492 ,319.546 b,369.322 ,373.217 ,365.360 ,315.242 ,254.958 ,208.753 ,451.425 ,683.053 ,720.533 ,708.228 ,722.770 
